procedure_code,description,procedure_group
10021,Fna w/o image,Surgery
10022,Fna w/image,Surgery
10040,Acne surgery,Surgery
10060,Drainage of skin abscess,Surgery
10061,Drainage of skin abscess,Surgery
10080,Drainage of pilonidal cyst,Surgery
10081,Drainage of pilonidal cyst,Surgery
10120,Remove foreign body,Surgery
10121,Remove foreign body,Surgery
10140,Drainage of hematoma/fluid,Surgery
10160,Puncture drainage of lesion,Surgery
10180,"Complex drainage, wound",Surgery
11000,Debride infected skin,Surgery
11001,Debride infected skin add-on,Surgery
11004,Debride genitalia & perineum,Surgery
11005,Debride abdom wall,Surgery
11006,Debride genit/per/abdom wall,Surgery
11008,Remove mesh from abd wall,Surgery
11010,"Debride skin, fx",Surgery
11011,"Debride skin/muscle, fx",Surgery
11012,"Debride skin/muscle/bone, fx",Surgery
11040,"Debride skin, partial",Surgery
11041,"Debride skin, full",Surgery
11042,Debride skin/tissue,Surgery
11043,Debride tissue/muscle,Surgery
11044,Debride tissue/muscle/bone,Surgery
11055,Trim skin lesion,Surgery
11056,"Trim skin lesions, 2 to 4",Surgery
11057,"Trim skin lesions, over 4",Surgery
11100,"Biopsy, skin lesion",Surgery
11101,"Biopsy, skin add-on",Surgery
11200,Removal of skin tags,Surgery
11201,Remove skin tags add-on,Surgery
11300,Shave skin lesion,Surgery
11301,Shave skin lesion,Surgery
11302,Shave skin lesion,Surgery
11303,Shave skin lesion,Surgery
11305,Shave skin lesion,Surgery
11306,Shave skin lesion,Surgery
11307,Shave skin lesion,Surgery
11308,Shave skin lesion,Surgery
11310,Shave skin lesion,Surgery
11311,Shave skin lesion,Surgery
11312,Shave skin lesion,Surgery
11313,Shave skin lesion,Surgery
11400,Exc tr-ext b9+marg 0.5 < cm,Surgery
11401,Exc tr-ext b9+marg 0.6-1 cm,Surgery
11402,Exc tr-ext b9+marg 1.1-2 cm,Surgery
11403,Exc tr-ext b9+marg 2.1-3 cm,Surgery
11404,Exc tr-ext b9+marg 3.1-4 cm,Surgery
11406,Exc tr-ext b9+marg > 4.0 cm,Surgery
11420,Exc h-f-nk-sp b9+marg 0.5 <,Surgery
11421,Exc h-f-nk-sp b9+marg 0.6-1,Surgery
11422,Exc h-f-nk-sp b9+marg 1.1-2,Surgery
11423,Exc h-f-nk-sp b9+marg 2.1-3,Surgery
11424,Exc h-f-nk-sp b9+marg 3.1-4,Surgery
11426,Exc h-f-nk-sp b9+marg > 4 cm,Surgery
11440,Exc face-mm b9+marg 0.5 < cm,Surgery
11441,Exc face-mm b9+marg 0.6-1 cm,Surgery
11442,Exc face-mm b9+marg 1.1-2 cm,Surgery
11443,Exc face-mm b9+marg 2.1-3 cm,Surgery
11444,Exc face-mm b9+marg 3.1-4 cm,Surgery
11446,Exc face-mm b9+marg > 4 cm,Surgery
11450,"Removal, sweat gland lesion",Surgery
11451,"Removal, sweat gland lesion",Surgery
11462,"Removal, sweat gland lesion",Surgery
11463,"Removal, sweat gland lesion",Surgery
11470,"Removal, sweat gland lesion",Surgery
11471,"Removal, sweat gland lesion",Surgery
11600,Exc tr-ext mlg+marg 0.5 < cm,Surgery
11601,Exc tr-ext mlg+marg 0.6-1 cm,Surgery
11602,Exc tr-ext mlg+marg 1.1-2 cm,Surgery
11603,Exc tr-ext mlg+marg 2.1-3 cm,Surgery
11604,Exc tr-ext mlg+marg 3.1-4 cm,Surgery
11606,Exc tr-ext mlg+marg > 4 cm,Surgery
11620,Exc h-f-nk-sp mlg+marg 0.5 <,Surgery
11621,Exc h-f-nk-sp mlg+marg 0.6-1,Surgery
11622,Exc h-f-nk-sp mlg+marg 1.1-2,Surgery
11623,Exc h-f-nk-sp mlg+marg 2.1-3,Surgery
11624,Exc h-f-nk-sp mlg+marg 3.1-4,Surgery
11626,Exc h-f-nk-sp mlg+mar > 4 cm,Surgery
11640,Exc face-mm malig+marg 0.5 <,Surgery
11641,Exc face-mm malig+marg 0.6-1,Surgery
11642,Exc face-mm malig+marg 1.1-2,Surgery
11643,Exc face-mm malig+marg 2.1-3,Surgery
11644,Exc face-mm malig+marg 3.1-4,Surgery
11646,Exc face-mm mlg+marg > 4 cm,Surgery
11719,Trim nail(s),Surgery
11720,"Debride nail, 1-5",Surgery
11721,"Debride nail, 6 or more",Surgery
11730,Removal of nail plate,Surgery
11732,"Remove nail plate, add-on",Surgery
11740,Drain blood from under nail,Surgery
11750,Removal of nail bed,Surgery
11752,Remove nail bed/finger tip,Surgery
11755,"Biopsy, nail unit",Surgery
11760,Repair of nail bed,Surgery
11762,Reconstruction of nail bed,Surgery
11765,"Excision of nail fold, toe",Surgery
11770,Removal of pilonidal lesion,Surgery
