revenue_code,description,category_group
0240,"All inclusive ancillary, general",Ancillary/Equipment
0260,Intravenous (IV) therapy,Ancillary/Equipment
0261,"Intravenous (IV) therapy, infusion pump",Ancillary/Equipment
0262,"Intravenous (IV) therapy, pharmacy services",Ancillary/Equipment
0263,"Intravenous (IV) therapeutic drug, supply and delivery",Ancillary/Equipment
0264,"Intravenous (IV) therapy, supplies",Ancillary/Equipment
0269,"Intravenous (IV) therapy, ",Ancillary/Equipment
0274,"Medical/surgical supplies and devices,prosthetic and orthotic ",Ancillary/Equipment
0280,Oncology,Ancillary/Equipment
0290,"Durable medical equipment, general",Ancillary/Equipment
0291,"Durable medical equipment, rental",Ancillary/Equipment
0292,"Durable medical equipment, purchase of new",Ancillary/Equipment
0294,"Durable medical equipment, supplies and drugs",Ancillary/Equipment
0299,"Durable medical equipment, ",Ancillary/Equipment
0300,"Laboratory, general classification",Diagnostic
0301,"Laboratory, chemistry",Diagnostic
0302,"Laboratory, immunology",Diagnostic
0303,"Laboratory, renal patient ",Diagnostic
0304,"Laboratory, dialysis",Diagnostic
0305,"Laboratory, hematology",Diagnostic
0306,"Laboratory, bacteriology and microbiology",Diagnostic
0307,"Laboratory, urology",Diagnostic
0308,Reserved laboratory,Diagnostic
0309,"Laboratory, ",Diagnostic
0310,"Laboratory, pathology general classification",Diagnostic
0311,Laboratory pathology cytology,Diagnostic
0312,Laboratory pathology histology,Diagnostic
0313,Reserved laboratory pathology,Diagnostic
0314,"Laboratory, pathology biopsy",Diagnostic
0315,"Reserved laboratory, pathology",Diagnostic
0316,"Reserved laboratory, pathology",Diagnostic
0317,"Reserved laboratory, pathology",Diagnostic
0318,"Reserved laboratory, pathology",Diagnostic
0319,"Laboratory, pathology ",Diagnostic
0320,"Radiology, diagnostic general classification",Diagnostic
0321,"Radiology, diagnostic angiocardiology",Diagnostic
0322,"Radiology, diagnostic arthrography",Diagnostic
0323,"Radiology, diagnostic arteriography",Diagnostic
0324,"Radiology, diagnostic chest X-ray",Diagnostic
0325,"Reserved radiology, diagnostic",Diagnostic
0326,"Reserved radiology, diagnostic",Diagnostic
0327,"Reserved radiology, diagnostic",Diagnostic
0328,"Reserved radiology, diagnostic",Diagnostic
0329,"Radiology, diagnostic ",Diagnostic
0330,"Radiology, therapeutic chemapy general classification",Diagnostic
0331,"Radiology, therapeutic chemapy, chemapy administration – injected",Diagnostic
0332,"Radiology, therapeutic chemapy, chemapy and administration – oral",Diagnostic
0333,"Radiology, therapeutic chemapy, radiation therapy",Diagnostic
